google,link,Gender,Rank,year,ecology,macroecology_081512,communityecology_073112,conservation biology 082112,physiological ecology_073112,behavioral ecology 080712,behavioural ecology080912,ecosystem ecology 081912,population_ecology_080912,evolutionary_ecology 080212,theoretical_ecology081412,landscape_ecology081512,paleoecology081512
A Bouskila,http://scholar.google.com/citations?user=3K3f8T8AAAAJ&hl=en,m,associate,1993,,,,,,55,,,,,,,
A. Cole Burton,http://scholar.google.com/citations?user=DaAOkp8AAAAJ&hl=en,m,,2010,,,,378,,,,,,,,,
A. Marcia Barbosa,http://scholar.google.com/citations?user=66awMnEAAAAJ&hl=en,f,postdoc,-999,,51,,,,,,,,,,,
A. Townsend Peterson,http://scholar.google.com/citations?user=uRZIRj0AAAAJ&hl=en,m,full,1990,14,,,,,,,,,,,,
AA Banaja,http://scholar.google.com/citations?user=VQIwZIUAAAAJ&hl=en,,,-999,840,,,,,,,,,,,,
Aaron Best,http://scholar.google.com/citations?user=vX6KclIAAAAJ&hl=en,m,associate,2001,461,,,,,,,,,,,,
Aaron Blackwell,http://scholar.google.com/citations?user=ikqMxAUAAAAJ&hl=en,m,postdoc,2009,,,,,,81,,,,,,,
Aaron D. Pan,http://scholar.google.com/citations?user=SmysduoAAAAJ&hl=en,m,,2007,,,,,,,,,,,,,63
Aaron Geheber,http://scholar.google.com/citations?user=7v1DiJEAAAAJ&hl=en,m,student,0,1634,,,,,,,,,,,,
Aaron Roe,http://scholar.google.com/citations?user=qAh_2r8AAAAJ&hl=en,m,,-999,,,,723,,,,,,,,,
Aaron Shafer,http://scholar.google.com/citations?user=BMz3u3kAAAAJ&hl=en,m,postdoc,2012,1096,,,,,,,,,,,,
Abbey E Camaclang,http://scholar.google.com/citations?user=6lFKr0YAAAAJ&hl=en,f,student,0,1646,,,,,,,,,,,,
Abdulhakim Abdi,http://scholar.google.com/citations?user=ppOH_fQAAAAJ&hl=en,,,-999,,,,771,,,,,,,,,
Abigail Martha Green,http://scholar.google.com/citations?user=r82kc9sAAAAJ&hl=en,f,,-999,1155,,,,,,,,,,,,
Abigail McQuatters-Gollop,http://scholar.google.com/citations?user=oDjPCVIAAAAJ&hl=en,f,,2008,967,,,,,,,,,,,,
Abigail Pastore,http://scholar.google.com/citations?user=LoHmcMgAAAAJ&hl=en,f,student,0,,,309,,,,,,,,,,
Abraham E. van Wyk,http://scholar.google.com/citations?user=5E0H4J8AAAAJ&hl=en,m,,-999,385,,,,,,,,,,,,
Achaz von Hardenberg,http://scholar.google.com/citations?user=aObiaQ4AAAAJ&hl=en,m,,2005,,,,329,,,51,,,,,,
AD Griffiths,http://scholar.google.com/citations?user=wVBx7nQAAAAJ&hl=en,m,,-999,561,,,,,,,,,,,,
Adam B. Smith,http://scholar.google.com/citations?user=_vVCUiIAAAAJ&hl=en,m,postdoc,2009,775,,,,,,,,,,,,
Adam C Algar,http://scholar.google.com/citations?user=XC3HWeEAAAAJ&hl=en,m,lecturer,2009,,99,,,,,,,,,,,
Adam C Watts,http://scholar.google.com/citations?user=Lx7sFEYAAAAJ&hl=en,m,student,0,1093,,,,,,,,,,,118,
Adam Huttenlocker,http://scholar.google.com/citations?user=BL9EK3AAAAAJ&hl=en,m,student,0,,,,,,,,,,,,,80
